FullHaul,DumpingTime,EmptyHaul,LoadingTime,CycleDistance,TotalCycle,MinedTonnes
8.7,0.3,15.1,6.1,7.4,32.2,540.6
12.8,2.7,11,2.5,7.5,29.7,2027.25
11.1,4.8,12.2,3.7,7.7,31.9,810.9
19.3,0.3,11.6,5.2,10,39.4,1756.95
13,1.5,32,4.4,9,51.6,946.05
16.4,4.3,5.8,4.9,8.7,33,946.05
9.9,2.6,16.9,3,7.2,34.4,1351.5
15.8,3.7,12,3.3,8.6,38.6,675.75
15.3,0.4,12.9,3.5,10.5,35.6,1081.2
19.5,0.2,15.5,4.3,8.9,39.6,135.15
11,0.5,9.4,4.5,10.2,27.5,270.3
8.1,0.6,9.6,5.4,8.1,24,135.15
16.2,0.4,16.1,3.8,7.7,38.5,1081.2
17.1,0.3,6.7,3.7,9.2,31.2,270.3
12.8,1.6,20.2,4,7.5,40.5,405.45
12.7,3.1,18.6,4.4,9,40.8,1081.2
11.2,0.4,15.1,2.9,8.8,31.1,1351.5
12.3,0.2,13.5,4.6,9,33.8,405.45
13.4,0.6,15,4.5,8.1,33.7,135.15
3.9,0.7,3.6,1.6,2,10.3,1892.1
11.2,2.9,8.5,3,6,26.7,2027.25
16.7,0.4,11.9,3.3,6.7,32.6,1081.2
17.8,0.4,11.1,6,8.2,51.8,405.45
15.7,0.3,16.1,2.8,8.4,35.6,405.45
14.8,13,25.2,3.8,7,57,135.15
15.8,4.1,16.9,3.3,3.8,40.7,270.3
4.6,5.7,4.7,2.5,3.3,19.4,405.45
15.1,5.8,12.2,2.7,8.4,37.3,1216.35
14.4,0.1,22.7,4.5,2.9,45.3,270.3
7.4,0.1,9.5,5.2,2.8,26.7,540.6
10.6,0.3,6.9,5,4.5,27.9,675.75
9.5,0.7,16,2.1,6.2,28.4,405.45
19.8,0.1,11.3,2.5,8,34.1,810.9
18.9,0.2,10.9,2.2,7.4,34.6,810.9
4.3,0.1,30.5,2,6.3,37.4,540.6
16.4,2.3,10.1,2.5,6.1,31.5,540.6
11,2.2,7.5,1.7,5.3,22.5,540.6
15.5,0.5,12.7,2.8,6.3,45.7,405.45
16.1,3.3,6.7,2.6,7.5,29.6,1081.2
9.6,0.1,11.6,1.7,5.4,29.6,405.45
16.6,0.6,9.7,2.6,8.2,31.9,1621.8
16.4,0.2,17,2.2,6.3,36.8,540.6
33.6,1.8,14.8,3.1,44.4,53.8,270.3
13.5,4.3,7.4,2.9,6.7,28.2,946.05
13.8,0.2,4.2,3.7,4.1,24.1,405.45
13.4,1.5,51.3,3.2,5.1,69.5,270.3
10.1,0.1,8.9,1.4,3.8,20.8,810.9
20.5,0.3,11.7,2.4,7.2,35.3,405.45
13.9,1,16.7,0.9,7,32.6,135.15
14.6,4.5,9.1,3.3,6.7,31.8,540.6
15.5,0.2,15.7,2.8,7.2,35.1,270.3
13.9,0.4,21.1,1.9,7.1,37.5,270.3
15.6,0.4,17,4,7.8,39,540.6
15,2,19.4,3.7,7.4,40.8,675.75
18.4,0.5,10.5,2.4,8.3,33.7,1216.35
18.2,0.1,54.2,3,6.5,76.1,1351.5
16.9,0.2,5,2.9,7.8,26.6,270.3
14.4,0.5,5.8,2.1,7.5,24.6,270.3
14.7,1.4,11,3.3,7.1,31.8,270.3
12.1,0.3,18.5,2.6,7.7,33.7,540.6
13.9,0.4,9.9,2.1,7.8,27.4,1486.65
16.8,0.1,12.6,2.8,8.8,34.1,1216.35
8.6,0.4,4.3,2.5,5.2,16.5,675.75
16.4,0.4,7.4,2.3,11.2,29.3,675.75
14.7,2.1,7.3,3.6,6.9,34.5,540.6
12.8,0.3,13.9,3.4,8.2,31.3,540.6
21.1,0.4,0.1,2.9,11.1,27,270.3
12.8,1.3,23,3.2,8,40.4,810.9
13,0.2,10.1,4.1,7.7,28.6,1621.8
12.8,0.2,17.8,3.6,9.9,34.5,405.45
13.8,0.3,8.4,4.3,7.2,28.7,135.15
10.3,1.7,22.7,1.8,8.8,44,405.45
14.3,0.2,15,3.5,7.6,33.9,1756.95
10.7,2.1,19.9,2.3,7.5,37.4,1756.95
11.8,0.4,19.6,2.9,7.4,36.8,270.3
10.8,0.7,11.4,2.5,6.5,26.9,2027.25
14.8,0.4,7.1,3.5,9.2,30.3,540.6
13.9,0.2,13.7,3,7.9,32.3,2027.25
10.3,0.2,7.9,2.3,5.3,21.3,810.9
13,1.8,13.4,2.8,7.6,33.3,1351.5
13.2,0.4,16.5,2,7.2,32.9,135.15
13,2.7,9.8,3.6,7.1,30.6,540.6
13.8,0.2,9.2,2.7,6.7,27.1,2297.55
13.5,0.4,17.6,4.3,7.5,36.4,810.9
14.2,2.7,12.8,3.2,7.2,35.3,1756.95
11.5,0.2,6.5,2.9,6,23.2,540.6
18.5,4.3,35.6,2.6,7.9,61.4,270.3
17.3,0.1,18.5,2.5,6.7,40.1,946.05
7.5,6.1,13,2.4,5.5,29.9,946.05
13.9,0.5,10.9,2.8,7.3,31.3,1621.8
9.5,6.2,6.6,2.6,6.8,27.3,540.6
12.3,0.4,9.6,3.3,8.2,26.2,1081.2
14.1,1.1,13.4,2.8,8.3,32.6,540.6
14.9,1,13.9,3.6,9.7,33.7,540.6
11.6,6.4,7.7,3.4,8,30.8,540.6
5.9,6.5,44.5,3.4,3.5,60.4,270.3
12.5,2.4,10.5,2.4,7,28,270.3
12.7,0.4,26.5,3.4,8.5,43.1,270.3
9.4,0.1,9.8,2.4,8.2,24.8,270.3
15.9,0.1,10.6,4.3,9.2,31,675.75
9.5,1.5,15.7,2.6,5.5,29.6,1351.5
13.2,0.3,27.7,4.1,10.3,48.1,540.6
14.8,0.3,7.4,4,8.3,28.4,270.3
12.9,2.1,12.3,2.1,7.4,31.5,946.05
15,0.4,30.3,3.6,9.1,51.4,270.3
8.1,1.8,3.8,4.4,2.7,19.2,2432.7
6.6,2.3,4.5,4.8,2.8,18.6,2297.55
7.6,0.1,20.1,6.5,3.5,34.6,270.3
5.5,0.3,4.2,5.7,2.3,21.5,405.45
4.7,3.1,9.5,5.5,1.9,23.2,540.6
4.8,0.7,3.8,7,2.3,19.4,405.45
7.9,0.2,3.6,4.3,2.6,16.6,3513.9
4.7,1.4,3.6,7.7,2.2,19.9,135.15
4.9,0.5,8.1,4.1,2.2,17.9,946.05
6.3,0.5,6.2,5.2,2.2,18.5,540.6
6.3,2.5,8.5,4.6,3.1,22.9,2027.25
4.7,2,7.3,5.4,2.5,20.1,540.6
16.3,1.1,7,6,3.2,31,135.15
9.6,0.1,5.3,3.6,2.4,18.7,1892.1
10.3,0.6,3.7,5.7,2.5,23,2027.25
6.4,4.7,17.6,3.9,2.3,32.7,675.75
4.5,0.2,4,3.7,1.8,15.4,675.75
4.9,2.1,5.1,6,1.9,18.9,946.05
5.9,0.1,4.4,4.7,2.4,15.2,270.3
6,0.4,12.9,5.3,2,24.7,135.15
3.5,0.2,2.4,4.2,1.4,10.9,1081.2
6.1,1.6,6.9,3.4,2.4,19.4,810.9
9,1.3,2.2,4.7,2.7,18.8,1756.95
9.3,1.5,2.5,3.8,2.9,17.7,810.9
5.6,2.2,9,3.9,2,21.3,270.3
7.8,0.3,3.5,3.3,2.3,15.2,2027.25
11.9,0.2,5.4,3.7,3.4,22.3,2567.85
2.1,0.2,7.2,4,2.9,17,270.3
7.9,0.1,8.2,5.1,2,24,675.75
3.7,0.1,1.2,4,1.5,10.6,270.3
8.4,0.1,4,5.1,2.3,19.2,540.6
15.4,0.3,3.5,4.6,4,24.4,135.15
15.8,0.1,0.1,10,4,26,135.15
8.9,0.7,8.3,4.6,4,23.6,1351.5
3.4,0.3,15.5,4,2.8,23.2,135.15
11.7,0.1,7.4,4.5,4.2,25.3,1892.1
11.8,0.2,6.2,4.1,3.6,23.4,2297.55
7.9,0.3,10.4,4.5,2.3,25.2,810.9
14.6,1.1,4,4.6,4,24.5,270.3
11.7,0.2,5.2,5.6,3.4,24.7,1892.1
8,0.4,4.2,2.8,1.8,16,2432.7
4.7,2,9.2,5.4,1.8,23.7,2703
12.3,0.1,3.3,5.8,1.9,22.5,1081.2
9.1,2.5,9.8,1.6,1.2,26.5,405.45
8.8,0.4,7.4,7.2,2.2,26.4,1081.2
4.1,3.2,11.9,7.1,1.8,28.2,675.75
10.1,1.6,10.7,4.8,4.1,27.5,946.05
